Brand,total_products,avg_rating,total_reviews,avg_reviews,avg_price,max_price,min_price,per,avg_rating_nor,avg_reviews_nor,avg_price_nor,total_productst_nor
andy&anne,3,4.833,60,20.0,16.13,16.8,14.97,0.00012220457045093486,0.6237918269791934,-0.27008206899447923,-0.40724798170197296,-0.22690999885996624
andy_mr,3,4.833,50,16.667,17.067,19.96,14.16,0.00012220457045093486,0.6237918269791934,-0.2983803155424397,-0.378338009352247,-0.22690999885996624
angerella,12,4.45,3362,280.167,20.405,21.83,19.09,0.0004888182818037394,-0.7513060255645948,1.938819794084799,-0.275348161216297,0.0030046934620986156
anggrek,1,5.0,11,11.0,16.73,16.73,16.73,4.073485681697829e-05,1.2233775746941082,-0.34649497596466955,-0.38873572619521135,-0.278002152709314
anglewolf,1,3.0,6,6.0,8.26,8.26,8.26,4.073485681697829e-05,-5.9572900626102685,-0.38894659094810863,-0.6500670664323281,-0.278002152709314
anglewolf_women_bikini,9,4.889,55,6.111,10.102,12.39,8.68,0.0003666137113528046,0.8248505208237161,-0.3880041650954763,-0.5932344420265703,-0.073633537311923
angool,2,4.3,252,126.0,20.76,21.58,19.94,8.146971363395658e-05,-1.2898560983624243,0.6298921686544291,-0.2643950767081298,-0.25245607578464013
angtuo,1,4.3,78,78.0,16.15,16.15,16.15,4.073485681697829e-05,-1.2898560983624243,0.222356664813414,-0.4066309065184142,-0.278002152709314
animal,9,5.0,81,9.0,45.647,49.22,41.3,0.0003666137113528046,1.2233775746941082,-0.36347562195804517,0.50346242795316,-0.073633537311923
anita,39,4.321,1988,50.974,100.221,124.27,82.99,0.0015886594158621532,-1.2144590881707287,-0.007102804495070896,2.187275481329832,0.6927487704282932
anmuxi,1,4.2,140,140.0,11.66,11.66,11.66,4.073485681697829e-05,-1.648889480227642,0.7487566906080585,-0.5451642852273463,-0.278002152709314
anpress,3,4.6,155,51.667,17.16,20.42,14.16,0.00012220457045093486,-0.21275595276676842,-0.0012190106583661981,-0.37546860974869894,-0.22690999885996624
anqier,32,4.828,1675,52.344,20.995,78.04,15.01,0.0013035154181433052,0.6058401578859328,0.004528938010391449,-0.25714444330131486,0.5139262319555761
anthem_athletics,2,4.7,68,34.0,12.92,25.84,0.0,8.146971363395658e-05,0.14627742909845234,-0.15121754704084983,-0.5062885486631471,-0.25245607578464013
anti_crime_security_inc.,3,5.0,33,11.0,45.527,45.76,45.19,0.00012220457045093486,1.2233775746941082,-0.34649497596466955,0.4997599768518078,-0.22690999885996624
anvil,5,4.3,398,79.6,15.516,16.18,15.24,0.00020367428408489145,-1.2898560983624243,0.23594118160811445,-0.4261921898372255,-0.1758178450106185
aofur,2,4.7,24,12.0,36.99,37.23,36.75,8.146971363395658e-05,0.14627742909845234,-0.33800465296798177,0.23636143474976934,-0.25245607578464013
aokosor,2,4.75,61,30.5,15.855,16.89,14.82,8.146971363395658e-05,0.3257941200310611,-0.18093367752925718,-0.41573276547590526,-0.25245607578464013
aoli_ray,3,4.767,56,18.667,31.32,38.1,17.77,0.00012220457045093486,0.38682979494814956,-0.2813996695490641,0.06142062021087292,-0.22690999885996624
